Age,Tenure,MonthlyCharges,Contract,InternetService,PaymentMethod,SupportCalls,Churn
23,71,112.59,Month-to-month,No,Electronic check,2,Yes
44,45,130.08,Month-to-month,DSL,Mailed check,4,No
42,43,76.67,Month-to-month,DSL,Bank transfer,5,No
51,51,20.02,Two year,DSL,Electronic check,10,No
63,50,134.94,Month-to-month,No,Electronic check,0,Yes
54,3,137.0,Two year,Fiber optic,Electronic check,10,No
33,22,97.02,One year,No,Bank transfer,4,No
38,39,51.28,Month-to-month,Fiber optic,Electronic check,8,No
64,2,145.85,Month-to-month,Fiber optic,Electronic check,9,Yes
30,64,76.65,Month-to-month,DSL,Electronic check,9,No
49,11,138.18,Two year,No,Electronic check,1,Yes
51,31,51.55,Month-to-month,Fiber optic,Bank transfer,3,Yes
64,10,138.68,Month-to-month,No,Electronic check,2,Yes
62,4,117.72,Month-to-month,Fiber optic,Electronic check,6,No
46,32,77.69,One year,Fiber optic,Electronic check,7,No
37,56,26.01,One year,Fiber optic,Credit card,10,No
40,21,69.56,Month-to-month,Fiber optic,Electronic check,6,No
43,33,132.05,Two year,Fiber optic,Mailed check,10,Yes
31,68,107.56,Month-to-month,Fiber optic,Credit card,9,No
56,27,58.76,Month-to-month,Fiber optic,Credit card,4,No
30,61,98.09,One year,DSL,Bank transfer,1,No
58,72,141.29,Month-to-month,DSL,Bank transfer,0,Yes
64,39,71.5,Month-to-month,Fiber optic,Electronic check,8,No
77,44,49.41,Month-to-month,DSL,Credit card,4,No
25,62,130.04,One year,Fiber optic,Mailed check,8,No
65,49,90.15,Month-to-month,DSL,Bank transfer,5,No
23,42,94.28,One year,DSL,Bank transfer,4,Yes
38,64,140.29,Two year,Fiber optic,Mailed check,4,Yes
28,67,72.4,One year,DSL,Electronic check,5,No
28,22,115.19,One year,DSL,Mailed check,10,No
28,54,132.54,Month-to-month,DSL,Mailed check,3,No
20,18,97.61,One year,Fiber optic,Electronic check,6,Yes
69,53,98.78,Month-to-month,Fiber optic,Credit card,1,Yes
21,6,84.28,Month-to-month,DSL,Mailed check,0,No
42,20,31.73,One year,Fiber optic,Bank transfer,10,Yes
61,57,57.01,Month-to-month,No,Bank transfer,6,Yes
79,57,69.75,One year,DSL,Electronic check,1,No
70,34,52.95,Month-to-month,Fiber optic,Electronic check,8,No
26,56,55.53,One year,Fiber optic,Mailed check,4,Yes
79,35,133.43,Month-to-month,No,Electronic check,2,No
58,5,96.72,Month-to-month,DSL,Credit card,5,Yes
29,59,142.45,Two year,Fiber optic,Electronic check,3,No
45,4,78.85,Two year,No,Mailed check,0,Yes
74,58,101.86,Month-to-month,DSL,Bank transfer,0,No
42,64,94.31,Two year,No,Electronic check,0,No
29,0,142.36,Month-to-month,Fiber optic,Bank transfer,0,No
72,71,35.31,Month-to-month,DSL,Mailed check,1,No
77,45,60.5,Month-to-month,DSL,Bank transfer,1,Yes
78,44,117.75,Month-to-month,Fiber optic,Mailed check,9,No
77,23,120.73,Two year,DSL,Mailed check,5,No
72,12,34.2,Two year,Fiber optic,Credit card,5,No
46,1,92.03,Month-to-month,Fiber optic,Electronic check,3,No
29,30,52.18,Month-to-month,Fiber optic,Bank transfer,3,Yes
56,57,130.23,One year,DSL,Bank transfer,9,Yes
31,1,118.71,Month-to-month,Fiber optic,Mailed check,8,No
47,16,92.26,Two year,DSL,Bank transfer,6,Yes
58,59,101.5,Month-to-month,DSL,Mailed check,8,No
76,31,140.42,Month-to-month,No,Electronic check,3,No
35,7,20.44,One year,DSL,Electronic check,2,No
33,71,102.04,Two year,DSL,Credit card,0,Yes
63,24,29.52,Month-to-month,Fiber optic,Electronic check,5,No
18,12,143.62,One year,No,Electronic check,2,Yes
53,41,66.65,One year,DSL,Bank transfer,0,Yes
64,6,53.76,Two year,No,Bank transfer,4,No
52,50,20.65,Month-to-month,No,Bank transfer,6,No
41,47,21.45,One year,No,Mailed check,4,Yes
69,66,146.02,Month-to-month,Fiber optic,Electronic check,9,Yes
41,21,121.11,Month-to-month,DSL,Mailed check,3,Yes
62,30,142.25,Two year,Fiber optic,Electronic check,2,No
46,48,70.55,Month-to-month,No,Bank transfer,5,No
19,13,59.79,One year,Fiber optic,Credit card,7,No
50,26,115.62,One year,No,Bank transfer,9,No
21,7,109.27,Month-to-month,Fiber optic,Electronic check,7,Yes
75,51,143.76,One year,No,Bank transfer,6,No
55,48,47.68,Month-to-month,Fiber optic,Mailed check,0,Yes
41,6,93.93,Month-to-month,Fiber optic,Electronic check,4,No
48,9,96.46,Month-to-month,DSL,Bank transfer,2,No
56,29,112.48,Month-to-month,No,Mailed check,3,Yes
34,48,145.8,Two year,Fiber optic,Electronic check,0,Yes
35,57,139.5,Two year,No,Electronic check,3,No
43,33,116.84,Two year,DSL,Electronic check,0,No
34,58,69.79,Two year,Fiber optic,Bank transfer,6,Yes
64,30,68.94,Two year,Fiber optic,Electronic check,3,No
24,43,107.89,Month-to-month,DSL,Mailed check,0,Yes
69,19,68.22,Two year,Fiber optic,Electronic check,1,No
39,46,117.07,Month-to-month,Fiber optic,Electronic check,0,No
52,65,141.34,Two year,DSL,Bank transfer,5,Yes
27,20,99.25,Month-to-month,Fiber optic,Bank transfer,6,No
41,52,105.46,One year,No,Electronic check,9,No
64,33,108.51,Month-to-month,Fiber optic,Electronic check,1,No
34,38,99.73,One year,DSL,Mailed check,5,Yes
26,42,86.71,Month-to-month,No,Electronic check,9,No
50,30,124.71,Month-to-month,No,Bank transfer,8,No
28,48,31.45,Month-to-month,No,Electronic check,1,Yes
37,26,112.31,Two year,Fiber optic,Electronic check,10,Yes
45,11,43.86,Month-to-month,DSL,Mailed check,2,No
52,29,123.45,Month-to-month,No,Bank transfer,6,No
57,32,99.92,Month-to-month,No,Electronic check,6,Yes
59,62,73.26,Month-to-month,Fiber optic,Bank transfer,3,No
70,46,75.03,One year,Fiber optic,Mailed check,9,No
22,30,49.04,Month-to-month,Fiber optic,Electronic check,10,No
40,62,64.96,Month-to-month,DSL,Electronic check,8,No
18,0,40.47,Month-to-month,DSL,Mailed check,7,No
18,50,63.62,One year,Fiber optic,Bank transfer,5,No
31,67,80.1,Two year,DSL,Electronic check,6,No
55,50,49.0,One year,Fiber optic,Mailed check,2,No
73,43,20.97,One year,Fiber optic,Credit card,9,No
65,38,125.94,Month-to-month,Fiber optic,Bank transfer,0,No
58,12,124.19,Two year,Fiber optic,Mailed check,3,No
66,11,138.0,One year,DSL,Bank transfer,5,Yes
28,9,40.82,Month-to-month,Fiber optic,Bank transfer,4,No
70,68,36.97,Month-to-month,Fiber optic,Electronic check,7,No
73,27,48.98,Month-to-month,No,Credit card,3,Yes
23,70,29.49,Two year,No,Bank transfer,8,No
47,44,103.78,Month-to-month,Fiber optic,Electronic check,9,No
69,54,107.46,Month-to-month,Fiber optic,Electronic check,9,No
47,68,54.58,Month-to-month,DSL,Bank transfer,4,No
70,37,112.15,Month-to-month,Fiber optic,Credit card,10,No
76,3,56.63,Two year,No,Bank transfer,6,No
47,60,120.12,One year,Fiber optic,Bank transfer,10,Yes
21,25,60.05,Month-to-month,Fiber optic,Credit card,0,No
39,11,76.61,Month-to-month,No,Electronic check,1,No
31,18,134.51,One year,DSL,Electronic check,6,No
47,72,119.03,Two year,Fiber optic,Credit card,5,No
54,30,39.21,Month-to-month,Fiber optic,Bank transfer,9,Yes
46,42,69.18,Month-to-month,DSL,Mailed check,2,No
30,57,57.11,One year,Fiber optic,Electronic check,6,No
36,42,76.96,Month-to-month,Fiber optic,Electronic check,0,No
60,11,50.67,Two year,Fiber optic,Mailed check,6,No
19,6,25.37,Two year,No,Bank transfer,10,No
31,68,141.39,Month-to-month,Fiber optic,Electronic check,3,No
73,14,143.49,One year,DSL,Credit card,3,Yes
24,18,64.68,Month-to-month,Fiber optic,Credit card,4,Yes
43,2,87.12,Month-to-month,DSL,Electronic check,7,No
30,54,101.19,One year,Fiber optic,Bank transfer,8,No
24,36,48.66,Month-to-month,DSL,Bank transfer,10,No
44,46,126.62,Two year,Fiber optic,Credit card,9,No
50,13,52.04,Two year,Fiber optic,Credit card,8,No
28,39,61.96,Month-to-month,No,Electronic check,0,No
22,40,37.29,One year,Fiber optic,Bank transfer,9,Yes
26,61,39.98,Month-to-month,No,Credit card,7,No
58,52,96.93,Month-to-month,DSL,Credit card,8,No
71,44,146.52,Two year,Fiber optic,Bank transfer,1,Yes
29,48,29.58,Two year,DSL,Credit card,6,No
37,57,38.25,Two year,Fiber optic,Electronic check,8,No
39,16,76.9,One year,DSL,Electronic check,1,No
40,43,93.99,Month-to-month,DSL,Bank transfer,10,Yes
33,68,64.71,One year,DSL,Mailed check,8,No
21,52,33.62,One year,Fiber optic,Mailed check,10,Yes
50,61,133.84,Two year,Fiber optic,Mailed check,0,No
40,3,100.12,Month-to-month,Fiber optic,Bank transfer,4,Yes
39,61,136.43,Month-to-month,DSL,Mailed check,8,No
34,47,100.19,Two year,DSL,Credit card,10,No
75,13,76.08,Month-to-month,DSL,Electronic check,0,No
55,64,82.05,Month-to-month,DSL,Credit card,4,No
43,64,96.49,Two year,DSL,Electronic check,1,Yes
30,47,30.72,One year,DSL,Electronic check,10,No
67,70,55.65,Month-to-month,Fiber optic,Bank transfer,5,No
73,59,133.31,Two year,Fiber optic,Credit card,5,No
20,30,149.83,Month-to-month,Fiber optic,Bank transfer,2,No
75,72,90.53,One year,Fiber optic,Mailed check,0,No
61,34,104.37,Month-to-month,DSL,Electronic check,3,No
24,11,120.36,Month-to-month,No,Bank transfer,7,No
64,8,141.11,Month-to-month,Fiber optic,Electronic check,7,Yes
24,50,21.22,Month-to-month,No,Credit card,2,No
21,10,110.85,Month-to-month,Fiber optic,Bank transfer,6,No
25,65,91.74,One year,Fiber optic,Credit card,8,No
46,67,41.01,Month-to-month,No,Credit card,3,No
56,2,139.78,One year,DSL,Electronic check,10,No
43,12,107.84,Month-to-month,DSL,Credit card,8,No
25,12,69.21,Two year,DSL,Mailed check,9,No
30,51,23.75,One year,Fiber optic,Credit card,8,No
70,18,89.81,Month-to-month,Fiber optic,Credit card,5,No
77,48,130.39,One year,No,Electronic check,2,Yes
64,64,131.45,One year,No,Bank transfer,8,No
24,48,146.58,Two year,Fiber optic,Electronic check,1,No
68,71,45.16,Two year,Fiber optic,Electronic check,9,No
60,35,126.06,One year,DSL,Credit card,10,No
50,66,122.17,Month-to-month,Fiber optic,Mailed check,6,No
26,56,121.09,Month-to-month,No,Electronic check,8,Yes
79,34,69.0,Two year,Fiber optic,Bank transfer,2,No
45,20,91.48,Month-to-month,Fiber optic,Mailed check,6,No
20,48,115.6,Month-to-month,DSL,Mailed check,8,No
31,56,28.98,Month-to-month,DSL,Bank transfer,5,No
42,7,98.78,Month-to-month,Fiber optic,Mailed check,3,No
21,23,108.25,Two year,No,Electronic check,3,No
38,71,84.49,One year,Fiber optic,Credit card,7,Yes
47,9,135.96,Month-to-month,Fiber optic,Credit card,9,No
76,68,128.33,Month-to-month,Fiber optic,Electronic check,4,Yes
23,9,137.29,Month-to-month,No,Electronic check,10,No
53,43,124.78,One year,DSL,Electronic check,9,No
74,22,108.27,Month-to-month,DSL,Electronic check,7,No
67,10,145.2,Month-to-month,DSL,Mailed check,2,No
75,16,62.13,Month-to-month,Fiber optic,Bank transfer,9,No
28,69,146.72,One year,DSL,Electronic check,3,No
67,20,55.08,Month-to-month,Fiber optic,Mailed check,6,No
78,65,45.13,Two year,Fiber optic,Electronic check,7,No
38,46,133.45,Two year,No,Electronic check,0,No
48,72,132.02,Two year,Fiber optic,Electronic check,0,Yes
50,33,52.0,Month-to-month,DSL,Electronic check,2,No
48,37,67.68,Two year,DSL,Mailed check,5,No
35,5,38.42,One year,DSL,Electronic check,2,No
78,25,45.29,Month-to-month,Fiber optic,Bank transfer,9,No
77,43,66.94,Month-to-month,Fiber optic,Electronic check,10,No
41,27,40.88,One year,No,Bank transfer,5,No
67,12,38.71,One year,DSL,Electronic check,2,No
42,36,63.52,Month-to-month,Fiber optic,Credit card,6,Yes
67,71,124.13,Month-to-month,Fiber optic,Electronic check,0,No
54,66,133.86,One year,DSL,Credit card,1,No
47,26,56.31,One year,Fiber optic,Credit card,6,No
25,9,140.28,Month-to-month,Fiber optic,Bank transfer,1,No
58,0,20.79,One year,DSL,Bank transfer,9,No
37,47,58.88,One year,Fiber optic,Mailed check,7,No
31,50,96.17,Month-to-month,Fiber optic,Electronic check,8,Yes
29,66,136.39,Month-to-month,Fiber optic,Electronic check,5,No
78,42,135.4,Two year,DSL,Credit card,5,No
24,19,120.92,One year,DSL,Mailed check,1,No
67,1,75.06,Two year,Fiber optic,Bank transfer,4,No
71,38,136.11,Two year,No,Electronic check,2,No
19,21,22.94,Month-to-month,Fiber optic,Mailed check,0,Yes
54,57,25.28,Month-to-month,Fiber optic,Mailed check,3,No
53,47,109.37,Two year,DSL,Credit card,0,No
40,37,44.96,Month-to-month,DSL,Mailed check,0,No
59,54,149.41,Two year,DSL,Credit card,4,No
43,38,88.83,Month-to-month,DSL,Bank transfer,1,No
45,47,38.62,One year,DSL,Bank transfer,1,Yes
44,55,144.05,One year,Fiber optic,Bank transfer,9,No
67,5,60.22,One year,Fiber optic,Electronic check,8,No
57,12,56.54,Month-to-month,DSL,Mailed check,5,Yes
41,35,37.16,One year,DSL,Credit card,0,No
75,52,136.73,Month-to-month,Fiber optic,Credit card,4,Yes
67,30,119.31,Month-to-month,No,Credit card,4,Yes
75,66,122.86,Month-to-month,No,Mailed check,6,No
63,71,72.76,One year,DSL,Bank transfer,9,No
42,7,101.48,Month-to-month,DSL,Credit card,1,No
65,48,110.23,Month-to-month,Fiber optic,Electronic check,8,Yes
38,4,148.08,One year,DSL,Bank transfer,7,No
34,57,92.17,One year,Fiber optic,Bank transfer,6,No
45,6,55.26,Month-to-month,DSL,Electronic check,9,No
78,7,35.56,Month-to-month,DSL,Mailed check,3,No
53,53,51.54,One year,Fiber optic,Electronic check,3,Yes
41,28,23.3,Two year,DSL,Credit card,0,No
46,28,38.68,Month-to-month,No,Electronic check,1,No
36,31,86.49,One year,DSL,Electronic check,4,Yes
58,33,20.69,Month-to-month,Fiber optic,Electronic check,10,No
39,48,32.47,One year,DSL,Mailed check,10,No
52,53,26.5,Month-to-month,Fiber optic,Credit card,7,Yes
40,69,88.52,Two year,DSL,Electronic check,1,No
37,38,23.18,Two year,Fiber optic,Bank transfer,10,No
78,61,86.02,Month-to-month,No,Credit card,0,No
39,43,99.6,Month-to-month,Fiber optic,Mailed check,7,No
22,4,49.21,Month-to-month,Fiber optic,Credit card,8,No
41,62,139.91,One year,DSL,Electronic check,8,No
50,32,147.25,One year,DSL,Electronic check,5,Yes
23,32,140.16,Month-to-month,No,Credit card,0,Yes
36,61,137.52,Month-to-month,Fiber optic,Bank transfer,2,No
28,63,30.45,Month-to-month,Fiber optic,Mailed check,10,No
49,72,62.35,One year,DSL,Bank transfer,4,No
62,38,53.62,Two year,Fiber optic,Bank transfer,1,No
78,32,45.31,One year,Fiber optic,Credit card,9,No
42,29,95.8,Month-to-month,No,Bank transfer,9,No
71,24,128.61,Month-to-month,No,Mailed check,9,Yes
31,19,132.25,Two year,Fiber optic,Electronic check,3,No
66,23,48.77,Two year,DSL,Credit card,3,No
52,53,68.56,Month-to-month,Fiber optic,Credit card,9,No
65,21,123.76,Month-to-month,DSL,Mailed check,5,Yes
64,45,120.39,One year,No,Electronic check,9,No
51,17,133.25,Two year,Fiber optic,Electronic check,0,No
33,58,32.44,One year,Fiber optic,Electronic check,10,No
50,30,34.87,Month-to-month,No,Credit card,4,No
69,39,118.66,Month-to-month,DSL,Bank transfer,3,No
78,70,114.33,Month-to-month,DSL,Mailed check,0,No
75,63,127.5,Month-to-month,Fiber optic,Electronic check,5,No
29,24,143.12,Month-to-month,DSL,Credit card,5,No
55,20,147.12,Month-to-month,No,Mailed check,2,Yes
24,39,85.31,Month-to-month,Fiber optic,Electronic check,9,No
59,53,127.0,Month-to-month,Fiber optic,Bank transfer,4,No
79,70,70.25,Two year,DSL,Mailed check,4,No
21,28,130.88,Month-to-month,No,Electronic check,0,No
58,42,115.12,Two year,No,Mailed check,6,No
76,8,91.47,Month-to-month,Fiber optic,Bank transfer,8,No
70,53,65.99,Month-to-month,DSL,Electronic check,5,Yes
42,38,129.18,Month-to-month,Fiber optic,Credit card,9,No
24,47,117.71,One year,Fiber optic,Electronic check,3,No
75,16,97.77,Month-to-month,DSL,Credit card,0,No
75,31,94.95,One year,Fiber optic,Bank transfer,10,No
53,4,40.73,Month-to-month,No,Electronic check,10,No
78,25,91.14,Month-to-month,DSL,Electronic check,3,No
18,26,43.35,Month-to-month,Fiber optic,Credit card,4,No
56,33,44.16,One year,DSL,Electronic check,7,No
20,71,74.47,Month-to-month,DSL,Bank transfer,0,No
76,45,138.73,Month-to-month,Fiber optic,Mailed check,9,Yes
60,65,92.31,Month-to-month,No,Mailed check,0,No
74,14,101.54,Month-to-month,No,Bank transfer,3,Yes
52,71,87.67,One year,DSL,Electronic check,1,No
23,44,59.19,One year,Fiber optic,Bank transfer,2,No
19,2,43.04,Month-to-month,Fiber optic,Credit card,1,No
38,63,143.95,Two year,DSL,Credit card,8,Yes
64,11,73.97,One year,Fiber optic,Electronic check,5,Yes
27,58,87.04,Two year,DSL,Electronic check,3,No
70,17,61.81,Two year,No,Electronic check,9,No
32,49,87.67,Two year,No,Electronic check,7,No
48,53,141.93,Month-to-month,No,Mailed check,7,No
30,8,113.42,Two year,DSL,Mailed check,10,No
46,71,118.12,Month-to-month,Fiber optic,Bank transfer,8,No
46,64,131.81,Month-to-month,No,Electronic check,10,No
18,29,138.95,Month-to-month,DSL,Mailed check,2,Yes
53,18,119.03,Month-to-month,No,Electronic check,5,No
66,42,113.72,Two year,DSL,Bank transfer,3,No
76,57,144.61,Month-to-month,DSL,Bank transfer,5,No
38,6,52.6,One year,Fiber optic,Mailed check,1,No
72,11,105.44,One year,Fiber optic,Electronic check,2,No
72,45,58.58,Month-to-month,DSL,Electronic check,2,No
79,20,49.31,Two year,Fiber optic,Credit card,0,No
41,65,39.11,Month-to-month,Fiber optic,Electronic check,4,No
70,39,89.83,Month-to-month,Fiber optic,Mailed check,10,No
53,48,108.81,One year,DSL,Credit card,5,No
21,25,67.64,Two year,Fiber optic,Electronic check,2,Yes
34,47,51.58,One year,DSL,Bank transfer,5,No
59,18,89.96,One year,DSL,Electronic check,1,Yes
27,35,64.35,Two year,DSL,Electronic check,2,No
44,1,46.65,One year,No,Electronic check,2,No
66,32,40.51,One year,Fiber optic,Electronic check,1,Yes
27,55,83.85,Month-to-month,Fiber optic,Bank transfer,4,No
48,26,73.94,Month-to-month,Fiber optic,Electronic check,4,No
31,4,55.57,One year,Fiber optic,Mailed check,1,No
51,59,60.36,Two year,DSL,Credit card,1,No
32,21,78.47,One year,DSL,Credit card,8,No
77,47,49.91,Month-to-month,No,Bank transfer,10,No
22,52,76.91,Month-to-month,Fiber optic,Credit card,9,No
77,21,47.51,Two year,Fiber optic,Electronic check,4,No
67,21,100.49,One year,Fiber optic,Electronic check,5,Yes
71,37,134.13,Month-to-month,Fiber optic,Credit card,6,No
70,33,86.21,Month-to-month,Fiber optic,Electronic check,7,Yes
29,8,135.51,Month-to-month,DSL,Electronic check,2,No
75,6,140.13,One year,Fiber optic,Bank transfer,1,Yes
54,3,82.35,Two year,Fiber optic,Bank transfer,1,Yes
77,23,39.98,Month-to-month,DSL,Credit card,5,No
72,9,67.55,Two year,Fiber optic,Credit card,9,Yes
53,55,44.54,One year,DSL,Bank transfer,5,No
41,63,24.64,One year,No,Mailed check,3,No
25,58,35.98,Month-to-month,No,Bank transfer,6,No
24,18,108.91,One year,DSL,Credit card,1,Yes
42,24,123.68,Month-to-month,Fiber optic,Mailed check,8,No
68,70,103.1,Month-to-month,Fiber optic,Bank transfer,6,Yes
49,9,64.71,Month-to-month,DSL,Credit card,0,No
47,24,45.65,One year,Fiber optic,Electronic check,7,No
33,32,71.33,One year,No,Credit card,8,Yes
52,29,57.45,Two year,DSL,Credit card,3,No
57,68,136.39,Two year,Fiber optic,Electronic check,1,No
78,59,128.26,Month-to-month,DSL,Bank transfer,2,No
63,71,33.66,Month-to-month,Fiber optic,Credit card,0,No
55,16,102.63,Two year,Fiber optic,Electronic check,0,No
74,4,78.73,Month-to-month,Fiber optic,Mailed check,10,No
44,66,99.85,One year,No,Credit card,9,No
75,10,83.51,Month-to-month,No,Bank transfer,2,No
40,47,46.0,Month-to-month,Fiber optic,Electronic check,4,No
25,65,71.62,Month-to-month,Fiber optic,Electronic check,7,No
43,4,145.2,Month-to-month,Fiber optic,Bank transfer,4,Yes
25,45,112.34,Month-to-month,DSL,Mailed check,10,Yes
25,69,27.42,Two year,Fiber optic,Mailed check,4,No
72,70,96.43,Two year,Fiber optic,Bank transfer,5,No
67,20,45.92,Month-to-month,No,Mailed check,7,No
31,18,111.16,One year,No,Bank transfer,3,No
69,16,59.63,Month-to-month,No,Mailed check,6,No
22,43,136.76,Month-to-month,DSL,Electronic check,2,No
35,65,41.7,One year,DSL,Mailed check,6,Yes
61,66,124.9,One year,DSL,Mailed check,9,No
36,23,30.65,Two year,DSL,Credit card,9,No
63,37,76.5,Two year,DSL,Credit card,3,No
72,52,102.57,Two year,DSL,Mailed check,3,No
22,49,83.34,Month-to-month,DSL,Bank transfer,0,No
19,2,58.98,Month-to-month,Fiber optic,Bank transfer,0,No
76,64,51.85,Two year,No,Electronic check,10,Yes
50,67,148.79,Month-to-month,Fiber optic,Electronic check,1,No
49,46,70.04,Month-to-month,DSL,Electronic check,8,No
46,29,90.96,One year,Fiber optic,Bank transfer,2,No
44,57,142.59,One year,DSL,Bank transfer,5,No
60,13,41.83,Month-to-month,DSL,Credit card,4,Yes
53,16,88.36,Two year,DSL,Mailed check,0,Yes
28,71,128.31,One year,DSL,Electronic check,2,No
56,25,100.17,Month-to-month,DSL,Credit card,10,No
59,54,62.48,Two year,DSL,Bank transfer,6,No
25,29,130.96,Month-to-month,Fiber optic,Mailed check,5,No
41,57,119.3,Month-to-month,Fiber optic,Electronic check,3,No
67,58,60.85,Month-to-month,Fiber optic,Electronic check,10,Yes
56,36,32.36,One year,DSL,Mailed check,4,No
26,27,101.81,One year,DSL,Mailed check,1,No
20,50,143.79,Month-to-month,DSL,Mailed check,8,No
54,14,146.91,One year,Fiber optic,Bank transfer,3,No
46,21,130.99,Month-to-month,DSL,Credit card,10,Yes
77,3,76.67,Month-to-month,DSL,Credit card,6,Yes
50,37,96.89,Two year,Fiber optic,Electronic check,9,Yes
75,46,102.57,One year,DSL,Bank transfer,5,No
31,27,32.53,Month-to-month,DSL,Mailed check,6,Yes
45,54,84.83,Two year,Fiber optic,Credit card,4,No
26,31,40.09,Month-to-month,DSL,Mailed check,5,No
53,15,134.8,Month-to-month,Fiber optic,Electronic check,9,Yes
29,0,114.0,Month-to-month,No,Mailed check,4,No
48,62,31.3,Month-to-month,DSL,Electronic check,3,No
39,59,40.32,Two year,Fiber optic,Mailed check,1,No
29,32,106.87,One year,No,Electronic check,6,No
24,15,133.23,Month-to-month,DSL,Credit card,7,No
49,43,93.15,Month-to-month,No,Electronic check,6,No
76,34,131.95,Two year,DSL,Electronic check,8,No
30,25,64.01,Two year,Fiber optic,Bank transfer,8,Yes
43,48,47.94,Two year,Fiber optic,Credit card,5,Yes
31,16,143.05,Month-to-month,Fiber optic,Mailed check,5,Yes
68,2,37.21,Two year,Fiber optic,Electronic check,1,No
43,12,59.34,Month-to-month,No,Mailed check,2,No
78,24,69.24,Month-to-month,DSL,Mailed check,9,Yes
33,60,86.65,One year,Fiber optic,Mailed check,0,No
23,19,60.02,Month-to-month,No,Electronic check,5,No
54,70,53.38,Month-to-month,No,Bank transfer,5,Yes
58,9,52.62,Month-to-month,Fiber optic,Mailed check,10,No
79,72,77.65,Month-to-month,No,Credit card,8,No
72,59,142.15,One year,DSL,Mailed check,9,No
72,4,145.95,Month-to-month,DSL,Credit card,0,Yes
57,39,89.59,One year,Fiber optic,Bank transfer,10,No
40,49,39.36,Month-to-month,Fiber optic,Electronic check,7,No
44,33,121.84,One year,DSL,Electronic check,1,No
26,71,63.06,One year,DSL,Mailed check,8,Yes
44,9,36.61,Month-to-month,DSL,Bank transfer,8,Yes
40,39,130.99,Two year,Fiber optic,Mailed check,8,Yes
20,37,23.34,Month-to-month,Fiber optic,Bank transfer,2,No
30,44,27.0,Two year,DSL,Electronic check,9,No
51,19,66.95,One year,Fiber optic,Electronic check,3,No
40,35,48.07,Month-to-month,Fiber optic,Credit card,0,Yes
79,9,111.48,Two year,Fiber optic,Mailed check,1,Yes
47,8,148.26,One year,Fiber optic,Credit card,5,No
77,38,81.38,Month-to-month,DSL,Electronic check,7,No
58,53,138.8,One year,Fiber optic,Credit card,2,No
20,49,108.07,Month-to-month,Fiber optic,Bank transfer,10,No
30,69,39.24,Month-to-month,No,Credit card,5,No
61,4,133.96,Two year,DSL,Electronic check,4,No
51,31,123.02,Two year,DSL,Bank transfer,5,No
36,4,59.91,Month-to-month,Fiber optic,Bank transfer,2,No
50,26,89.64,Two year,Fiber optic,Bank transfer,0,No
73,53,44.89,One year,DSL,Mailed check,6,No
42,43,32.57,Month-to-month,No,Mailed check,8,No
20,15,56.26,Month-to-month,Fiber optic,Electronic check,9,Yes
37,5,114.4,One year,Fiber optic,Bank transfer,4,No
76,11,23.42,Month-to-month,DSL,Electronic check,8,No
65,30,80.0,One year,No,Electronic check,9,No
69,70,93.09,Month-to-month,Fiber optic,Electronic check,10,Yes
74,28,85.66,Month-to-month,DSL,Bank transfer,0,No
25,13,115.26,Month-to-month,No,Bank transfer,6,No
35,19,46.3,Month-to-month,Fiber optic,Bank transfer,1,No
21,49,146.82,Month-to-month,Fiber optic,Electronic check,5,No
18,20,84.53,Month-to-month,No,Mailed check,6,Yes
69,59,118.62,Month-to-month,No,Mailed check,7,No
76,2,139.24,Month-to-month,Fiber optic,Bank transfer,4,No
27,24,52.54,Two year,Fiber optic,Electronic check,7,Yes
62,18,148.44,Month-to-month,No,Bank transfer,9,No
51,33,104.58,Month-to-month,No,Bank transfer,6,Yes
22,28,54.8,Month-to-month,No,Bank transfer,2,Yes
74,40,86.57,One year,No,Bank transfer,4,Yes
72,24,58.06,One year,DSL,Electronic check,1,Yes
53,14,118.5,Month-to-month,DSL,Electronic check,1,No
61,47,123.97,Month-to-month,No,Electronic check,3,No
42,21,70.43,Month-to-month,Fiber optic,Electronic check,7,No
67,63,109.22,Month-to-month,Fiber optic,Mailed check,3,Yes
45,70,47.45,Month-to-month,DSL,Mailed check,4,No
79,16,61.34,Two year,DSL,Bank transfer,7,No
21,19,103.51,Month-to-month,DSL,Bank transfer,4,No
28,69,52.99,Month-to-month,Fiber optic,Electronic check,4,No
78,59,107.1,One year,DSL,Electronic check,3,Yes
35,32,39.06,One year,DSL,Mailed check,1,No
37,39,107.08,Two year,Fiber optic,Bank transfer,1,No
67,17,56.4,Month-to-month,No,Electronic check,10,No
29,47,77.62,Month-to-month,Fiber optic,Mailed check,6,No
49,68,94.0,Month-to-month,No,Electronic check,1,Yes
35,33,32.94,One year,Fiber optic,Bank transfer,8,Yes
30,31,97.6,Month-to-month,DSL,Mailed check,5,No
77,42,128.77,Month-to-month,Fiber optic,Mailed check,7,No
30,59,142.64,Month-to-month,DSL,Bank transfer,4,No
23,39,108.97,One year,Fiber optic,Electronic check,10,No
59,32,114.49,Month-to-month,DSL,Bank transfer,9,No
71,35,141.23,Month-to-month,Fiber optic,Credit card,3,No
25,0,140.92,One year,Fiber optic,Credit card,10,No
61,58,100.56,One year,Fiber optic,Mailed check,1,Yes
51,26,35.99,Month-to-month,No,Electronic check,2,No
69,64,95.17,Two year,Fiber optic,Electronic check,6,No
